Drug name,DOI,Assay,Value,Units,Correlation
Mannose,10.1101/2021.01.14.426521,EC50,2.01,,indirect
Fucose,10.1101/2021.01.14.426521,EC50,2.01,,indirect
Xylose,10.1101/2021.01.14.426521,EC50,2.01,,indirect
Sulfate,10.1101/2021.01.14.426521,EC50,2.01,,indirect
Galactose,10.1101/2021.01.14.426521,EC50,2.01,,indirect
Rhamnose,10.1101/2021.01.14.426521,EC50,2.01,,indirect
Phospholipids,10.1101/2021.01.12.426042,IC50,0.06,,indirect
Water,10.1101/2021.01.08.425825,IC50,0.1,,direct
Artemisinin,10.1101/2021.01.08.425825,IC50,0.1,,direct
Remdesivir,10.1101/2021.01.08.425825,IC50,0.1,,indirect
Artesunate,10.1101/2021.01.08.425825,IC50,70,micro,direct
Artemether,10.1101/2021.01.08.425825,IC50,70,micro,direct
Dihydroartemisinin,10.1101/2021.01.08.425825,IC50,70,micro,direct
Amodiaquine,10.1101/2021.01.08.425825,IC50,5.8, um,direct
Yeast,10.1101/2021.01.07.425806,IC50,60,,indirect
Angiotensin,10.1101/2021.01.07.425806,IC50,60,,indirect
Remdesivir,10.1101/2020.12.29.424534,EC50,769.1,,indirect
Water,10.1101/2020.12.29.424534,EC50,769.1,,indirect
Cysteine,10.1101/2020.12.23.424111,EC50,in the nanomolar range,,indirect
Boceprevir,10.1101/2020.12.19.423537,EC50,1.27,micro,indirect
Chymotrypsin,10.1101/2020.12.16.422677,IC50,1,,direct
Myricetin,10.1101/2020.12.16.422677,IC50,1,,indirect
Neferine,10.1101/2020.12.13.420406,EC50,0.1, um,indirect
Hernandezine,10.1101/2020.12.13.420406,EC50,0.1, um,indirect
Calcium,10.1101/2020.12.13.420406,EC50,0.1, um,indirect
Cepharanthine,10.1101/2020.12.13.420406,EC50,0.1, um,indirect
Telaprevir,10.1101/2020.12.02.408112,EC50,40, um,direct
Narlaprevir,10.1101/2020.12.02.408112,EC50,40, um,direct
Boceprevir,10.1101/2020.12.02.408112,EC50,40, um,direct
Glecaprevir,10.1101/2020.12.02.408112,EC50,15,,direct
Danoprevir,10.1101/2020.12.02.408112,EC50,15,,direct
Paritaprevir,10.1101/2020.12.02.408112,EC50,15,,direct
Grazoprevir,10.1101/2020.12.02.408112,EC50,15,,direct
Vaniprevir,10.1101/2020.12.02.408112,EC50,15,,direct
Voxilaprevir,10.1101/2020.12.02.408112,EC50,15,,direct
Simeprevir,10.1101/2020.12.02.408112,EC50,15,,direct
Asunaprevir,10.1101/2020.12.02.408112,EC50,72,,direct
Faldaprevir,10.1101/2020.12.02.408112,EC50,72,,direct
Remdesivir,10.1101/2020.12.02.408112,EC50,1,,direct
Pyronaridine,10.1101/2020.12.01.407361,IC50,180, nm,direct
Remdesivir,10.1101/2020.12.01.407361,IC50,180, nm,indirect
Angiotensin,10.1101/2020.12.02.408153,IC50,735, nm,indirect
Thein,10.1101/2020.11.29.401984,EC50,0.147, nm,indirect
Chicken,10.1101/2020.11.29.401984,EC50,0.147, nm,indirect
Emetine,10.1101/2020.11.29.401984,EC50,0.147, nm,indirect
Hydroxychloroquine,10.1101/2020.11.19.389726,IC50,1.28,,direct
Mefloquine,10.1101/2020.11.19.389726,IC50,1.28,,direct
Remdesivir,10.1101/2020.11.19.389726,IC50,1.28,,indirect
Nelfinavir,10.1101/2020.11.19.389726,IC50,1.28,,indirect
Itraconazole,10.1101/2020.11.13.381194,EC50,3.6,,direct
Remdesivir,10.1101/2020.11.13.381194,EC50,0.4, um,direct
Remdesivir,10.1101/2020.11.12.380394,EC50,0.5,,direct
Ivermectin,10.1016/j.mehy.2020.110364,IC50,10,,direct
Remdesivir,10.1101/2020.10.28.359042,EC50,0.08,,indirect
Bortezomib,10.1016/j.arcmed.2020.10.002,IC50,47,,direct
Heparin,10.1111/bph.15304,IC50,25, ug,indirect
Lopinavir,10.1016/j.ejps.2020.105631,EC50,5.48, um,direct
Favipiravir,10.1016/j.ejps.2020.105631,EC50,5.48, um,direct
Baloxavir,10.1016/j.ejps.2020.105631,EC50,5.48, um,direct
Arbidol,10.1016/j.ejps.2020.105631,EC50,5.48, um,direct
Papain,10.1101/2020.10.23.347534,EC50,74, nm,indirect
Cysteine,10.1101/2020.10.23.347534,EC50,74, nm,indirect
Acetamide,10.1080/10426507.2020.1828886,EC50,9.8, um,direct
Benzophenone,10.1371/journal.pone.0240079,IC50,0.2, um,indirect
Thimerosal,10.1371/journal.pone.0240079,IC50,0.2, um,indirect
Cysteine,10.1371/journal.pone.0240079,IC50,0.2, um,indirect
Artesunate,10.1101/2020.10.05.326637,EC50,7,,direct
Artemether,10.1101/2020.10.05.326637,EC50,7,,direct
Artemisinin,10.1101/2020.10.05.326637,EC50,7,,direct
Nitazoxanide,10.1101/2020.09.24.312165,EC50,4.9,,direct
Angiotensin,10.1101/2020.09.22.308338,IC50,in the low nanomolar range,,indirect
Cysteine,10.1101/2020.09.21.299776,IC50,155, nm,indirect
Acrylamide,10.1101/2020.09.21.299776,IC50,low micromolar ic50,,direct
Angiotensin,10.1101/2020.09.16.20190694,EC50,1, nm,indirect
Remdesivir,10.1101/2020.09.16.299537,EC50,10,,indirect
Hydroxychloroquine,10.1101/2020.09.16.299537,EC50,10,,indirect
Azelastine,10.1101/2020.09.15.296228,EC50,6,,direct
Histamine,10.1101/2020.09.15.296228,EC50,6,,indirect
Ceftazidime,10.1101/2020.09.14.295956,IC50,113.2,,direct
Angiotensin,10.1101/2020.09.14.295956,IC50,113.2,,indirect
Masitinib,10.1101/2020.08.31.274639,EC50,0.1,micro,indirect
Tyrosine,10.1101/2020.08.31.274639,EC50,0.1,micro,indirect
Remdesivir,10.1101/2020.08.28.267567,IC50,0.29,,direct
Suramin,10.1101/2020.08.28.270306,IC50,30,,direct
Siramesine,10.1101/2020.08.29.273441,IC50,3,,direct
Suramin,10.1101/2020.08.29.273441,IC50,3,,direct
Chloroquine,10.1101/2020.08.29.273441,IC50,3,,direct
Phenothiazine,10.1101/2020.08.29.273441,IC50,3,,indirect
Manidipine,10.1101/2020.08.28.271957,IC50,40,,direct
Efonidipine,10.1101/2020.08.28.271957,IC50,40,,direct
Boceprevir,10.1101/2020.08.28.271957,IC50,40,,direct
Bedaquiline,10.1101/2020.08.28.271957,IC50,40,,direct
Lercanidipine,10.1101/2020.08.28.271957,IC50,40,,direct
Carrageenan,10.1101/2020.08.23.255364,EC50,0.3,,indirect
Angiotensin,10.1101/2020.08.24.264077,IC50,in the nanomolar range,,indirect
Cucumber,10.1039/d0fo02017f,IC50,9.1, ug,indirect
Carrageenan,10.1039/d0fo02017f,IC50,9.1, ug,indirect
Fucoidan,10.1039/d0fo02017f,IC50,9.1, ug,indirect
Sulfate,10.1039/d0fo02017f,IC50,9.1, ug,indirect
Astodrimer,10.1101/2020.08.20.260190,EC50,0.09,,direct
Sulfate,10.1101/2020.08.20.260190,EC50,0.09,,indirect
Angiotensin,10.1101/2020.08.08.242511,IC50,4, nm,indirect
Ptc299,10.1101/2020.08.05.238394,EC50,2, nm,direct
Yeast,10.1101/2020.07.31.231746,IC50,10,,indirect
Angiotensin,10.1101/2020.07.31.231746,IC50,10,,indirect
Sinefungin,10.1101/2020.07.30.228478,IC50,286, nm,direct
Chloroquine,10.30651/jqm.v4i2.4998,EC50,1, um,direct
Lopinavir,10.30651/jqm.v4i2.4998,EC50,1, um,indirect
Ritonavir,10.30651/jqm.v4i2.4998,EC50,1, um,indirect
Hydroxychloroquine,10.30651/jqm.v4i2.4998,EC50,1, um,indirect
Sulfate,10.30651/jqm.v4i2.4998,EC50,1, um,indirect
Serine,10.21203/rs.3.rs-34021/v5,EC50,96,,indirect
Camostat,10.21203/rs.3.rs-34021/v5,EC50,26000,,direct
Cysteine,10.1101/2020.07.28.223784,IC50,100, nm,indirect
Angiotensin,10.1101/2020.07.24.219857,EC50,1.1, nm,indirect
Boceprevir,10.1101/2020.07.10.197889,EC50,0.95,,direct
Ciluprevir,10.1101/2020.07.10.197889,EC50,0.95,,direct
Telaprevir,10.1101/2020.07.10.197889,EC50,1.1,,direct
Narlaprevir,10.1101/2020.07.10.197889,EC50,1.1,,direct
Hydroxychloroquine,10.1101/2020.07.12.199059,EC50,2.6,,direct
Oleandrin,10.1101/2020.07.15.203489,EC50,11.98,,indirect
Lopinavir,10.1101/2020.07.05.20146878,EC50,indicated insufficient lpv concentrations,,indirect
Ritonavir,10.1101/2020.07.05.20146878,EC50,indicated insufficient lpv concentrations,,indirect
Hydroxychloroquine,10.1101/2020.07.05.20146878,EC50,indicated insufficient lpv concentrations,,indirect
Tocilizumab,10.1101/2020.07.05.20146878,EC50,indicated insufficient lpv concentrations,,indirect
Papain,10.1101/2020.07.17.208959,IC50,2.1, um,indirect
Cysteine,10.1101/2020.07.17.208959,IC50,2.1, um,indirect
Hydroxocobalamin,10.1101/2020.07.17.207019,IC50,0.26, um,direct
Suramin,10.1101/2020.07.17.207019,IC50,0.26, um,direct
Serine,10.21203/rs.3.rs-34021/v4,EC50,96,,indirect
Camostat,10.21203/rs.3.rs-34021/v4,EC50,26000,,direct
Nitazoxanide,10.1016/s2055-6640(20)30017-0,EC50,14,,direct
Tafenoquine,10.1101/2020.07.12.199059,EC50,2.6, um,direct
Angiotensin,10.1186/s12967-020-02435-4,IC50,2,,indirect
Remdesivir,10.1101/2020.05.27.117184,IC50,308, nm,direct
Hydroxychloroquine,10.1101/2020.05.23.112235,IC50,100, um,indirect
Pimozide,10.1101/2020.05.23.112235,IC50,100, um,indirect
Ebastine,10.1101/2020.05.23.112235,IC50,100, um,indirect
Bepridil,10.1101/2020.05.23.112235,IC50,100, um,indirect
Azithromycin,10.1101/2020.05.21.108605,IC50,237, um,indirect
Hydroxychloroquine,10.1101/2020.05.21.108605,IC50,237, um,indirect
Remdesivir,10.1101/2020.04.27.064279,EC50,0.01,,direct
Adenosine,10.1101/2020.04.27.064279,EC50,0.01,,direct
Lopinavir,10.1101/2020.04.29.20085761,EC50,5.48, um,direct
Favipiravir,10.1101/2020.04.29.20085761,EC50,5.48, um,direct
Baloxavir,10.1101/2020.04.29.20085761,EC50,5.48, um,direct
Arbidol,10.1101/2020.04.29.20085761,EC50,5.48, um,direct
Glutamine,10.1101/2020.02.10.936898,EC50,low - micromolar ec50 values,,indirect
Ivermectin,10.1101/2020.04.21.20073262,IC50,2, um,direct
Heparin,10.1101/2020.06.08.140236,IC50,599,,direct
Enoxaparin,10.1101/2020.06.08.140236,IC50,599,,direct
Angiotensin,10.1101/2020.06.08.140236,IC50,599,,indirect
Sulfate,10.1101/2020.06.08.140236,IC50,599,,indirect
Fluoxetine,10.1101/2020.06.14.150490,EC50,387,,indirect
Serotonin,10.1101/2020.06.14.150490,EC50,387,,indirect
Clomiphene,10.1101/2020.06.05.135996,IC50,0.34, um,direct
Asenapine,10.1101/2020.06.05.135996,IC50,0.34, um,direct
Vortioxetine,10.1101/2020.06.05.135996,IC50,0.34, um,direct
Sofosbuvir,10.1101/2020.06.15.153411,EC50,6.2,,direct
Daclatasvir,10.1101/2020.06.15.153411,EC50,6.2,,indirect
Hydroxychloroquine,10.1101/2020.05.16.091520,EC50,2,,indirect
Chloroquine,10.1101/2020.05.16.091520,EC50,2,,indirect
Heparin,10.1101/2020.05.21.107870,IC50,0.05,,direct
Auranofin,10.1101/2020.05.28.120642,IC50,3,,direct
Chymotrypsin,10.1101/2020.05.28.120642,IC50,3,,indirect
Cysteine,10.1101/2020.05.28.120642,IC50,3,,indirect
Nevirapine,10.1101/2020.06.26.174698,IC50,1,,direct
Amprenavir,10.1101/2020.06.26.174698,IC50,1,,direct
Remdesivir,10.1101/2020.06.26.174698,IC50,1,,indirect
Apilimod,10.1101/2020.06.26.174698,IC50,1,,indirect
Heparin,10.1101/2020.05.10.087288,IC50,38, nm,direct
Sulfate,10.1101/2020.05.10.087288,IC50,38, nm,indirect
Nafamostat,10.1101/2020.05.12.090035,IC50,0.0022,micro,direct
Liquiritin,10.1101/2020.05.02.074021,EC50,2.39, um,direct
Licorice,10.1101/2020.05.02.074021,EC50,2.39, um,indirect
Chlorpromazine,10.1101/2020.05.05.079608,IC50,10,,indirect
Phenothiazine,10.1101/2020.05.05.079608,IC50,10,,indirect
Teicoplanin,10.1101/2020.02.05.935387,IC50,1.66, um,direct
Protoporphyrin,10.1101/2020.04.30.071290,EC50,at nanomolar concentrations,,direct
Verteporfin,10.1101/2020.04.30.071290,EC50,at nanomolar concentrations,,direct
Suramin,10.1101/2020.05.06.081968,EC50,20,micro,direct
Nafamostat,10.1101/2020.04.22.054981,EC50,10, nm,direct
Camostat,10.1101/2020.04.22.054981,EC50,10, nm,indirect
Nitazoxanide,10.1101/2020.04.16.20068379,EC50,of the concentration - response curve,,indirect
Atazanavir,10.1101/2020.04.16.20068379,EC50,50,,direct
Ritonavir,10.1101/2020.04.16.20068379,EC50,50,,direct
Azithromycin,10.1101/2020.04.16.20068379,EC50,50,,direct
Lopinavir,10.1101/2020.04.16.20068379,EC50,50,,direct
Tipranavir,10.1101/2020.04.16.20068379,EC50,50,,direct
Mefloquine,10.1101/2020.04.16.20068379,EC50,50,,direct
Ivermectin,10.1101/2020.04.16.20068379,EC50,50,,direct
Hydroxychloroquine,10.1101/2020.04.16.20068379,EC50,50,,direct
Chloroquine,10.1101/2020.04.16.20068379,EC50,50,,direct
Sulfadoxine,10.1101/2020.04.16.20068379,EC50,3.1,,direct
Nelfinavir,10.1101/2020.04.16.20068379,EC50,3.1,,direct
Angiotensin,10.1101/2020.04.19.049643,IC50,12, nm,indirect
Boceprevir,10.1101/2020.04.20.051581,EC50,0.49, um,direct
Ethanol,10.1101/2020.04.10.035824,EC50,0.74,,indirect
Huangqin,10.1101/2020.04.10.035824,EC50,0.74,,indirect
Baicalein,10.1101/2020.04.10.035824,IC50,0.39, um,direct
Cobicistat,10.1101/2020.04.03.20052548,EC50,100,,indirect
Darunavir,10.1101/2020.04.03.20052548,EC50,100,,indirect
Remdesivir,10.1101/2020.04.03.20052548,EC50,0.38,,direct
Chlorpromazine,10.1101/2020.03.25.008482,IC50,at non - cytotoxic concentrations,,indirect
Chloroquine,10.1101/2020.03.25.008482,IC50,at non - cytotoxic concentrations,,indirect
Quinidine,10.1101/2020.04.03.023846,EC50,20,micro,direct
Azithromycine,10.1101/2020.04.03.023846,EC50,20,micro,direct
Omeprazol,10.1101/2020.04.03.023846,EC50,20,micro,direct
Opipramol,10.1101/2020.04.03.023846,EC50,20,micro,direct
Chloroquine,10.1101/2020.04.03.023846,EC50,20,micro,indirect
Niclosamide,10.1101/2020.03.20.999730,IC50,10,,indirect
Ciclesonide,10.1101/2020.03.20.999730,IC50,10,,indirect
Ebselen,10.1101/2020.02.26.964882,IC50,0.67, um,indirect
Dipyridamole,10.1101/2020.02.27.20027557,EC50,100, nm,direct
Ebselen,10.1101/2020.05.20.107052,IC50,in the nanomolar range,,indirect
Papain,10.1101/2020.05.20.107052,IC50,in the nanomolar range,,indirect
Cysteine,10.1101/2020.05.20.107052,IC50,in the nanomolar range,,indirect
Carmofur,10.1101/2020.04.09.033233,EC50,24.3,,direct
Angiotensin,10.1101/2020.04.02.021725,IC50,2,,indirect
Heparin,10.1101/2020.04.14.041459,IC50,0.056,,direct
Sulfate,10.1101/2020.04.14.041459,IC50,0.056,,direct
Nelfinavir,10.1101/2020.04.06.026476,EC50,1.13,micro,direct
Lopinavir,10.1101/2020.04.06.026476,EC50,1.13,micro,indirect
Remdesivir,10.1101/2020.06.22.165712,EC50,1.32,,direct
Chloroquine,10.1101/2020.06.22.165712,EC50,1.32,,direct
Emtricitabine,10.1101/2020.06.22.165712,EC50,1.32,,indirect
Ledipasvir,10.1101/2020.06.22.165712,EC50,1.32,,indirect
Sofosbuvir,10.1101/2020.06.22.165712,EC50,1.32,,indirect
Velpatasvir,10.1101/2020.06.22.165712,EC50,1.32,,indirect
Tenofovir,10.1101/2020.06.22.165712,EC50,1.32,,indirect
Cobicistat,10.1101/2020.06.22.165712,EC50,0.77,,direct
Nelfinavir,10.1101/2020.06.22.165712,EC50,0.77,,direct
Rupintrivir,10.1101/2020.06.22.165712,EC50,0.77,,direct
Camostat,10.1101/2020.06.23.167544,IC50,0.27, nm,direct
Nafamostat,10.1101/2020.06.23.167544,IC50,0.27, nm,direct
Gabexate,10.1101/2020.06.23.167544,IC50,0.27, nm,direct
Trypsin,10.1101/2020.06.23.167544,IC50,0.27, nm,indirect
Oseltamivir,10.1101/2020.03.11.983056,EC50,17, nm,indirect
Teriflunomide,10.1101/2020.03.11.983056,EC50,17, nm,indirect
Leflunomide,10.1101/2020.03.11.983056,EC50,17, nm,indirect
Danoprevir,10.1101/2020.03.22.20034041,IC50,0.29, nm,direct
Ritonavir,10.1101/2020.03.22.20034041,IC50,0.29, nm,indirect
Chymotrypsin,10.1101/2020.03.22.20034041,IC50,0.29, nm,indirect
Imatinib,10.1101/2020.06.18.158196,IC50,130, nm,direct
Tyrosine,10.1101/2020.06.18.158196,IC50,130, nm,direct
Angiotensin,10.1101/2020.06.18.158196,IC50,130, nm,indirect
Azithromycin,10.21203/rs.3.rs-36439/v1,EC50,0.008, um,direct
Pralatrexate,10.21203/rs.3.rs-36439/v1,EC50,0.008, um,direct
Remdesivir,10.21203/rs.3.rs-36439/v1,EC50,0.008, um,indirect
Camostat,10.21203/rs.3.rs-34021/v1,EC50,96,,indirect
Serine,10.21203/rs.3.rs-34021/v1,EC50,96,,indirect
Papain,10.21203/rs.3.rs-33294/v1,IC50,19,,direct
Baicalin,10.21203/rs.3.rs-33294/v1,IC50,19,,indirect
Cysteine,10.21203/rs.3.rs-33294/v1,IC50,19,,indirect
Biopterin,10.21203/rs.3.rs-33294/v1,IC50,19,,indirect
Hydrogen,10.21203/rs.3.rs-33294/v1,IC50,19,,indirect
Luteolin,10.21203/rs.3.rs-33294/v1,IC50,19,,indirect
Rutin,10.21203/rs.3.rs-33294/v1,IC50,19,,indirect
Quercetin,10.21203/rs.3.rs-33294/v1,IC50,19,,indirect
Ribavirin,10.33250/14.02.106,EC50,0, ug,direct
Acetamide,10.33250/14.02.106,EC50,0, ug,indirect
Cobicistat,10.1016/j.ijid.2020.05.085,EC50,100, um,indirect
Darunavir,10.1016/j.ijid.2020.05.085,EC50,100, um,indirect
Remdesivir,10.1016/j.ijid.2020.05.085,EC50,0.38, um,direct
Remdesivir,10.1093/jac/dkaa239,EC50,1,,direct
Niclosamide,10.1016/j.bj.2020.05.003,EC50,11, nm,indirect
Anisomycin,10.1016/j.bj.2020.05.003,EC50,11, nm,indirect
Emetine,10.1016/j.bj.2020.05.003,EC50,11, nm,indirect
Nitazoxanide,10.1016/j.bj.2020.05.003,EC50,11, nm,indirect
Salinomycin,10.1016/j.bj.2020.05.003,EC50,11, nm,indirect
Gemcitabine,10.1016/j.bj.2020.05.003,EC50,11, nm,indirect
Conivaptan,10.1016/j.bj.2020.05.003,EC50,11, nm,indirect
Homoharringtonine,10.1016/j.bj.2020.05.003,EC50,11, nm,indirect
Chloroquine,10.1016/j.bj.2020.05.003,EC50,11, nm,indirect
Valinomycin,10.1016/j.bj.2020.05.003,EC50,11, nm,indirect
Atovaquone,10.1016/j.bj.2020.05.003,EC50,11, nm,indirect
Hydroxychloroquine,10.1093/cid/ciaa623,EC50,to the free plasma hydroxychloroquine concentration,,direct
Remdesivir,10.2139/ssrn.3588829,EC50,0.01, um,direct
Adenosine,10.2139/ssrn.3588829,EC50,0.01, um,direct
Favipiravir,10.21203/rs.3.rs-24311/v1,EC50,10, um,direct
Andrographolide,10.21203/rs.3.rs-24311/v1,EC50,10, um,direct
Phosphate,10.1016/j.mehy.2020.109783,EC50,0.72, um,indirect
Hydroxychloroquine,10.1016/j.mehy.2020.109783,EC50,0.72, um,indirect
Chloroquine,10.1016/j.mehy.2020.109783,EC50,0.72, um,indirect
Fenofibrate,10.1101/2020.04.23.055756,IC50,25, um,indirect
Nelfinavir,10.1101/2020.04.23.055756,IC50,25, um,indirect
Plitidepsin,10.1101/2020.04.23.055756,IC50,25, um,indirect
Remdesivir,10.1101/2020.04.23.055756,IC50,25, um,indirect
Chloroquine,10.1101/2020.04.23.055756,IC50,25, um,indirect
Hydroxychloroquine,10.1093/cid/ciaa237,EC50,0.72, um,direct
Chloroquine,10.1093/cid/ciaa237,EC50,0.72, um,direct
Phosphate,10.1093/cid/ciaa237,EC50,0.72, um,indirect
Sulfate,10.1093/cid/ciaa237,EC50,0.72, um,indirect
Lopinavir,10.26434/chemrxiv.11829102.v2,IC50,is approximately 50 micromolar,,direct
Lopinavir,10.26434/chemrxiv.11829102.v1,IC50,is approximately 50 micromolar,,direct
