drug,sentence,title,doi,in-vitro evidence
water,"[' using vero e6 cells ,  we measured the in vitro efficacy ( ic50 )  of stored ( frozen )  dried - leaf hot - water a.', ' annua hot - water extracts ( tea infusions )  could potentially provide a cost - effective approach to help stave off this pandemic virus and its rapidly evolving variants.']",'SARS-CoV-2 omicron variants succumb in vitro to Artemisia annua hot water extracts','10.1101/2022.07.22.501141',"[[' using vero e6 cells ,  we measured the in vitro efficacy ( ic50 )  of stored ( frozen )  dried - leaf hot - water a.', ' ic50 values normalized to the extract artemisinin ( art )  content ranged from 0.5 - 16.5 {micro}m art.', ' although ic50 values for these new variants are slightly higher than those reported for previously tested variants ,  they were within limits of assay variation.']]"
artemisinin,[' ic50 values normalized to the extract artemisinin ( art )  content ranged from 0.'],'SARS-CoV-2 omicron variants succumb in vitro to Artemisia annua hot water extracts','10.1101/2022.07.22.501141',"[[' using vero e6 cells ,  we measured the in vitro efficacy ( ic50 )  of stored ( frozen )  dried - leaf hot - water a.', ' ic50 values normalized to the extract artemisinin ( art )  content ranged from 0.5 - 16.5 {micro}m art.', ' although ic50 values for these new variants are slightly higher than those reported for previously tested variants ,  they were within limits of assay variation.']]"
eltrombopag,"[' through screening of a custom clinical compound library ,  we identified eltrombopag ( ddl - 701 )  ,  a thrombopoietin receptor agonist ,  as having plpro inhibitory activity that is sustained in the presence of the mpro inhibitor nirmatrelvir.']",'Identification of a Papain-Like Protease Inhibitor with Potential for Repurposing in Combination with an Mpro Protease Inhibitor for Treatment of SARS-CoV-2','10.1101/2022.07.18.500363',[[' ddl - 701 is already approved for treatment of thrombocytopenia and has previously been shown to achieve human plasma levels after oral dosing that is above the ic50 needed for it to exert its plpro inhibitory activity in vivo.']]
thrombopoietin,"[' through screening of a custom clinical compound library ,  we identified eltrombopag ( ddl - 701 )  ,  a thrombopoietin receptor agonist ,  as having plpro inhibitory activity that is sustained in the presence of the mpro inhibitor nirmatrelvir.']",'Identification of a Papain-Like Protease Inhibitor with Potential for Repurposing in Combination with an Mpro Protease Inhibitor for Treatment of SARS-CoV-2','10.1101/2022.07.18.500363',[[' ddl - 701 is already approved for treatment of thrombocytopenia and has previously been shown to achieve human plasma levels after oral dosing that is above the ic50 needed for it to exert its plpro inhibitory activity in vivo.']]
papain,"["" 'sars - cov - 2 requires two cysteine proteases for viral polypeptide processing to allow maturation and replication: the 3c - like protease also known as the main protease ( mpro )  and the papain - like protease ( plpro ) .""]",'Identification of a Papain-Like Protease Inhibitor with Potential for Repurposing in Combination with an Mpro Protease Inhibitor for Treatment of SARS-CoV-2','10.1101/2022.07.18.500363',[[' ddl - 701 is already approved for treatment of thrombocytopenia and has previously been shown to achieve human plasma levels after oral dosing that is above the ic50 needed for it to exert its plpro inhibitory activity in vivo.']]
cysteine,"["" 'sars - cov - 2 requires two cysteine proteases for viral polypeptide processing to allow maturation and replication: the 3c - like protease also known as the main protease ( mpro )  and the papain - like protease ( plpro ) .""]",'Identification of a Papain-Like Protease Inhibitor with Potential for Repurposing in Combination with an Mpro Protease Inhibitor for Treatment of SARS-CoV-2','10.1101/2022.07.18.500363',[[' ddl - 701 is already approved for treatment of thrombocytopenia and has previously been shown to achieve human plasma levels after oral dosing that is above the ic50 needed for it to exert its plpro inhibitory activity in vivo.']]
nitazoxanide,"[' herein we show that the anti - infective drug nitazoxanide has a potent antiviral activity against three human endemic coronaviruses ,  the alpha - coronaviruses hcov - 229e and hcov - nl63 ,  and the beta - coronavirus hcov - oc43 in cell culture with ic50 ranging between 0.', ' we found that nitazoxanide does not affect hcov adsorption ,  entry or uncoating ,  but acts at postentry level and interferes with the spike glycoprotein maturation ,  hampering its terminal glycosylation at an endoglycosidase h - sensitive stage.', ' altogether the results indicate that nitazoxanide ,  due to its broad - spectrum anti - coronavirus activity ,  may represent a readily available useful tool in the treatment of seasonal coronavirus infections.']",'Nitazoxanide is a potent inhibitor of human seasonal coronaviruses acting at postentry level: effect on viral spike glycoprotein','10.1101/2022.07.13.499346',"[[' herein we show that the anti - infective drug nitazoxanide has a potent antiviral activity against three human endemic coronaviruses ,  the alpha - coronaviruses hcov - 229e and hcov - nl63 ,  and the beta - coronavirus hcov - oc43 in cell culture with ic50 ranging between 0.05 and 0.15 g ml ,  and high selectivity indexes.']]"
cysteine,"["" 'using the regioselective cyanobenzothiazole condensation reaction with the n - terminal cysteine and the chloroacetamide reaction with an internal cysteine ,  a phage - displayed macrocyclic 12 - mer peptide library was constructed and subsequently validated."", ' the current study demonstrates that two kinetically - controlled reactions toward n - terminal and internal cysteines ,  respectively ,  are highly effective in the construction of phage - displayed macrocyclic peptides ,  and the selection based on the sars - cov - 2 spike epitopes is a promising methodology in the identification of peptidyl antivirals.']",'A Novel Regioselective Approach to Cyclize Phage-Displayed Peptides in Combination with Epitope-Directed Selection to Identify a Potent Neutralizing Macrocyclic Peptide for SARS-CoV-2','10.1101/2022.07.06.498864',"[[' antiviral tests against sars - cov - 2 showed that one macrocyclic peptide is highly potent against viral reproduction in vero e6 cells with an ec50 value of 3.1 micromolar.'], [' the alphalisa - detected ic50 value for this macrocyclic peptide was 0.3 micromolar.']]"
angiotensin,"["" 'the binding of the sars - cov - 2 spike to angiotensin - converting enzyme 2 ( ace2 )  promotes virus entry into the cell."", '  author summarythe entry of sars - cov - 2 in permissive cells is mediated by the binding of its spike to angiotensin - converting enzyme 2 ( ace2 )  on the cell surface.']",'Biosynthetic proteins targeting the SARS-CoV-2 spike as anti-virals','10.1101/2022.05.10.491295',"[['1 nm affinities and ec50 of 8 - 18 nm for neutralization of sars - cov - 2.', ' furthermore ,  f9 - c2 and or c2 - foldon effectively neutralized sars - cov - 2 variants ( including delta and omicron variants )  with ec50 values ranging from 13 to 32 nm.']]"
angiotensin,[' it could block angiotensin - converting enzyme 2 ( ace2 )  binding to the rbd in the s protein trimer via steric hindrance.'],'A cocktail containing two synergetic antibodies broadly neutralizes SARS-CoV-2 and its variants including Omicron BA.1 and BA.2','10.1101/2022.04.26.489529',"[[' importantly ,  an antibody cocktail containing 55a8 and 58g6 ( 2 - cocktail )  showed synergetic neutralizing activity with a half - maximal inhibitory concentration ( ic50 )  in the picomolar range in vitro and prophylactic efficacy in hamsters challenged with omicron ( ba.1 )  through intranasal delivery at an extraordinarily low dosage ( 25 g of each antibody daily )  at 3 days post - infection.']]"
remdesivir,"[' remdesivir ( rdv ,  veklury( r )  )  is a nucleoside analog prodrug and the first fda - approved antiviral treatment of covid - 19.']","'Remdesivir and GS-441524 retain antiviral activity against Delta, Omicron, and other emergent SARS-CoV-2 variants'",'10.1101/2022.02.09.479840',"[[' delta and omicron variants remained susceptible to rdv and gs - 441524 ,  with ec50 values 0.31 to 0.62 - fold of those observed against the ancestral wa1 isolate.', ' all other tested variants exhibited ec50 values ranging from 0.15 to 2.3 - fold of the observed ec50 values against wa1.']]"
remdesivir,"["" 'in vitro selection of remdesivir - resistant sars - cov - 2 revealed the emergence of a v166l substitution ,  located outside of the polymerase active site of the nsp12 protein ,  after 9 passages.""]",'In Vitro Selection of Remdesivir-Resistant SARS-CoV-2 Demonstrates High Barrier to Resistance.','10.1101/2022.02.07.479493',"[['3 - fold increase in ec50.', '5 - fold increase in ec50 was observed ,  indicating a high in vitro barrier to rdv resistance.']]"
papain,[' the main protease ( mpro )  and papain - like protease ( plpro )  are attractive drug targets among coronaviruses due to their essential role in processing the polyproteins translated from the viral rna.'],'Structure-based identification of naphthoquinones and derivatives as novel inhibitors of main protease Mpro and papain-like protease PLpro of SARS-CoV-2','10.1101/2022.01.05.475095',"[[' four compounds inhibited mpro with half - maximal inhibitory concentration ( ic50 )  values between 0.41 {micro}m and 66 {micro}m.', ' in addition ,  eight compounds inhibited plpro with ic50 ranging from 1.7 {micro}m to 46 {micro}m.']]"
remdesivir,"["" 'the in vitro effect of gs - 441524 ,  remdesivir ,  eidd - 1931 ,  molnupiravir and nirmatrelvir against the various sars - cov - 2 vocs ,  including omicron ,  was determined."", '  our results indicate that gs - 441524 ,  remdesivir ,  eidd - 1931 ,  molnupiravir and nirmatrelvir retain their activity against the vocs alpha ,  beta ,  gamma ,  delta and omicron.']","'Remdesivir, Molnupiravir and Nirmatrelvir remain active against SARS-CoV-2 Omicron and other variants of concern.'",'10.1101/2021.12.27.474275',"[[' the number of fluorescent pixels of gfp signal ,  determined by high - content imaging on day 4 post - infection ,  was used as read - out ,  and the ec50 of each compound on a viral isolate of each voc was calculated.']]"
glycine,"[' it inhibits the sars - cov - 2 main protease ( mpro )  and contains an  - ketoamide warhead ,  a p1 {beta} - cyclobutylalanyl moiety ,  a p2 dimethylcyclopropylproline ,  a p3 tert - butyl - glycine ,  and a p4 n - terminal tert - butylcarbamide.']",'The N-Terminal Carbamate is Key to High Cellular and Antiviral Potency for Boceprevir-Based SARS-CoV-2 Main Protease Inhibitors','10.1101/2021.12.18.473330',[[' they all have high potency with ec50 values around 1 m.']]
boceprevir,"["" 'boceprevir is an hcv nsp3 inhibitor that has been explored as a repurposed drug for covid - 19."", ' by introducing modifications at all four positions ,  we synthesized 20 boceprevir - based mpro inhibitors including pf - 07321332 and characterized their mpro inhibition potency in test tubes ( in vitro )  and human host cells ( in cellulo ) .', ' the original moieties at p2 ,  p3 and the p4 n - terminal cap positions in boceprevir are better than other tested chemical moieties for high in vitro potency.', ' based on all observations ,  we conclude that a p4 n - terminal carbamate in a boceprevir derivative is key for high antiviral potency against sars - cov - 2.']",'The N-Terminal Carbamate is Key to High Cellular and Antiviral Potency for Boceprevir-Based SARS-CoV-2 Main Protease Inhibitors','10.1101/2021.12.18.473330',[[' they all have high potency with ec50 values around 1 m.']]
carbamide,"[' it inhibits the sars - cov - 2 main protease ( mpro )  and contains an  - ketoamide warhead ,  a p1 {beta} - cyclobutylalanyl moiety ,  a p2 dimethylcyclopropylproline ,  a p3 tert - butyl - glycine ,  and a p4 n - terminal tert - butylcarbamide.', ' the p1 opal residue ,  p2 dimethylcyclopropylproline and p4 n - terminal tert - butylcarbamide make strong hydrophobic interactions with mpro ,  explaining high in vitro potency of inhibitors that contain these moieties.', ' all inhibitors including pf - 07321332 with a p4 n - terminal carbamide or amide have low in cellulo potency.']",'The N-Terminal Carbamate is Key to High Cellular and Antiviral Potency for Boceprevir-Based SARS-CoV-2 Main Protease Inhibitors','10.1101/2021.12.18.473330',[[' they all have high potency with ec50 values around 1 m.']]
alanine,"[' in its mpro complex structure ,  the p4 n - terminal isovaleramide is tucked deep in a small pocket of mpro that originally recognizes a p4 alanine side chain in a substrate.']",'The N-Terminal Carbamate is Key to High Cellular and Antiviral Potency for Boceprevir-Based SARS-CoV-2 Main Protease Inhibitors','10.1101/2021.12.18.473330',[[' they all have high potency with ec50 values around 1 m.']]
threonine,[' the installation of a p3 o - tert - butyl - threonine improves in cellulo potency.'],'The N-Terminal Carbamate is Key to High Cellular and Antiviral Potency for Boceprevir-Based SARS-CoV-2 Main Protease Inhibitors','10.1101/2021.12.18.473330',[[' they all have high potency with ec50 values around 1 m.']]
remdesivir,"["" 'the portfolio of sars - cov - 2 small molecule drugs is currently limited to a handful that are either approved ( remdesivir )  ,  emergency approved ( dexamethasone ,  baricitinib )  or in advanced clinical trials.""]",'Vandetanib Reduces Inflammatory Cytokines and Ameliorates COVID-19 in Infected Mice','10.1101/2021.12.16.472155',"[[' vandetanib ,  which targets the vascular endothelial growth factor receptor ( vegfr )  ,  the epidermal growth factor receptor ( egfr )  ,  and the ret - tyrosine kinase showed the most promising results on inhibition versus toxic effect on sars - cov - 2 - infected caco - 2 and a549 - hace2 cells ( ic50 0.79 um )  while also showing a reduction of > 3 log tcid50 ml for hcov - 229e.']]"
dexamethasone,"["" 'the portfolio of sars - cov - 2 small molecule drugs is currently limited to a handful that are either approved ( remdesivir )  ,  emergency approved ( dexamethasone ,  baricitinib )  or in advanced clinical trials.""]",'Vandetanib Reduces Inflammatory Cytokines and Ameliorates COVID-19 in Infected Mice','10.1101/2021.12.16.472155',"[[' vandetanib ,  which targets the vascular endothelial growth factor receptor ( vegfr )  ,  the epidermal growth factor receptor ( egfr )  ,  and the ret - tyrosine kinase showed the most promising results on inhibition versus toxic effect on sars - cov - 2 - infected caco - 2 and a549 - hace2 cells ( ic50 0.79 um )  while also showing a reduction of > 3 log tcid50 ml for hcov - 229e.']]"
baricitinib,"["" 'the portfolio of sars - cov - 2 small molecule drugs is currently limited to a handful that are either approved ( remdesivir )  ,  emergency approved ( dexamethasone ,  baricitinib )  or in advanced clinical trials.""]",'Vandetanib Reduces Inflammatory Cytokines and Ameliorates COVID-19 in Infected Mice','10.1101/2021.12.16.472155',"[[' vandetanib ,  which targets the vascular endothelial growth factor receptor ( vegfr )  ,  the epidermal growth factor receptor ( egfr )  ,  and the ret - tyrosine kinase showed the most promising results on inhibition versus toxic effect on sars - cov - 2 - infected caco - 2 and a549 - hace2 cells ( ic50 0.79 um )  while also showing a reduction of > 3 log tcid50 ml for hcov - 229e.']]"
vandetanib,"[' vandetanib ,  which targets the vascular endothelial growth factor receptor ( vegfr )  ,  the epidermal growth factor receptor ( egfr )  ,  and the ret - tyrosine kinase showed the most promising results on inhibition versus toxic effect on sars - cov - 2 - infected caco - 2 and a549 - hace2 cells ( ic50 0.', ' the in vivo efficacy of vandetanib was assessed in a mouse model of sars - cov - 2 infection and statistically significantly reduced the levels of il - 6 ,  il - 10 ,  tnf - a; ,  and mitigated inflammatory cell infiltrates in the lungs of infected animals but did not reduce viral load.', ' vandetanib rescued the decreased ifn - 1b; caused by sars - cov - 2 infection in mice to levels similar to that in uninfected animals.', ' our results indicate that the fda - approved vandetanib is a potential therapeutic candidate for covid - 19 positioned for follow up in clinical trials either alone or in combination with other drugs to address the cytokine storm associated with this viral infection.']",'Vandetanib Reduces Inflammatory Cytokines and Ameliorates COVID-19 in Infected Mice','10.1101/2021.12.16.472155',"[[' vandetanib ,  which targets the vascular endothelial growth factor receptor ( vegfr )  ,  the epidermal growth factor receptor ( egfr )  ,  and the ret - tyrosine kinase showed the most promising results on inhibition versus toxic effect on sars - cov - 2 - infected caco - 2 and a549 - hace2 cells ( ic50 0.79 um )  while also showing a reduction of > 3 log tcid50 ml for hcov - 229e.']]"
tyrosine,"[' vandetanib ,  which targets the vascular endothelial growth factor receptor ( vegfr )  ,  the epidermal growth factor receptor ( egfr )  ,  and the ret - tyrosine kinase showed the most promising results on inhibition versus toxic effect on sars - cov - 2 - infected caco - 2 and a549 - hace2 cells ( ic50 0.']",'Vandetanib Reduces Inflammatory Cytokines and Ameliorates COVID-19 in Infected Mice','10.1101/2021.12.16.472155',"[[' vandetanib ,  which targets the vascular endothelial growth factor receptor ( vegfr )  ,  the epidermal growth factor receptor ( egfr )  ,  and the ret - tyrosine kinase showed the most promising results on inhibition versus toxic effect on sars - cov - 2 - infected caco - 2 and a549 - hace2 cells ( ic50 0.79 um )  while also showing a reduction of > 3 log tcid50 ml for hcov - 229e.']]"
merimepodib,"[' we identified four molecules ,  including the broad - spectrum antiviral merimepodib vx - 497 ,  which show anti - nsp5 activity and inhibit sars - cov - 2 replication in a549 - ace2 cells with ic50 values in the 4 - 21 micromolar range.']",'A highly sensitive cell-based luciferase assay for high-throughput automated screening of SARS-CoV-2 nsp5/3CLpro inhibitors','10.1101/2021.12.18.473303',"[[' we identified four molecules ,  including the broad - spectrum antiviral merimepodib vx - 497 ,  which show anti - nsp5 activity and inhibit sars - cov - 2 replication in a549 - ace2 cells with ic50 values in the 4 - 21 micromolar range.']]"
threonine,"[' inhibitors that showed high in cellulo potency all contain o - tert - butyl - threonine at the p3 site.', ' based on the current and a previous study ,  we conclude that o - tert - butyl - threonine at the p3 site is a key component to achieve high cellular and antiviral potency for peptidyl aldehyde inhibitors of mpro.']",'The P3 O-Tert-Butyl-Threonine is Key to High Cellular and Antiviral Potency for Aldehyde-Based SARS-CoV-2 Main Protease Inhibitors','10.1101/2021.12.18.473326',"[[' these inhibitors have a large variation of determined ic50 values that range from 4.8 to 650 nm.', ' the determined ic50 values reveal that relatively small side chains at both p2 and p3 sites are favorable for achieving high in vitro mpro inhibition potency ,  the p3 site is tolerable toward unnatural amino acids with two alkyl substituents on the  - carbon ,  and the inhibition potency is sensitive toward the n - terminal protection group.']]"
cysteine,[' a covalent interaction between the active site cysteine and a bound inhibitor was observed in all structures.'],'The P3 O-Tert-Butyl-Threonine is Key to High Cellular and Antiviral Potency for Aldehyde-Based SARS-CoV-2 Main Protease Inhibitors','10.1101/2021.12.18.473326',"[[' these inhibitors have a large variation of determined ic50 values that range from 4.8 to 650 nm.', ' the determined ic50 values reveal that relatively small side chains at both p2 and p3 sites are favorable for achieving high in vitro mpro inhibition potency ,  the p3 site is tolerable toward unnatural amino acids with two alkyl substituents on the  - carbon ,  and the inhibition potency is sensitive toward the n - terminal protection group.']]"
carbon,"[' the determined ic50 values reveal that relatively small side chains at both p2 and p3 sites are favorable for achieving high in vitro mpro inhibition potency ,  the p3 site is tolerable toward unnatural amino acids with two alkyl substituents on the  - carbon ,  and the inhibition potency is sensitive toward the n - terminal protection group.']",'The P3 O-Tert-Butyl-Threonine is Key to High Cellular and Antiviral Potency for Aldehyde-Based SARS-CoV-2 Main Protease Inhibitors','10.1101/2021.12.18.473326',"[[' these inhibitors have a large variation of determined ic50 values that range from 4.8 to 650 nm.', ' the determined ic50 values reveal that relatively small side chains at both p2 and p3 sites are favorable for achieving high in vitro mpro inhibition potency ,  the p3 site is tolerable toward unnatural amino acids with two alkyl substituents on the  - carbon ,  and the inhibition potency is sensitive toward the n - terminal protection group.']]"
remdesivir,"[' the antiviral drug remdesivir was used as control.', '88 m for both virus variants ,  that of remdesivir between 1.']",'The Petasites hybridus CO2-extract (Ze 339) blocks SARS-CoV-2 replication in vitro','10.1101/2021.12.03.471068',"[[' pre - treatment with ze 339 in sars - cov - 2 infected vero e6 cells with either virus variant significantly inhibited virus replication with ic50 values of 0.10 and 0.40 g ml ,  repectively.', ' the ic50 values obtained for isopetasin ranged between 0.37 - 0.88 m for both virus variants ,  that of remdesivir between 1.53 - 2.37 m.']]"
papain,"[' however ,  the development of papain - like protease ( plpro )  inhibitors faces several obstacles.']",'Drug repurposing screening identified tropifexor as a SARS-CoV-2 papain-like protease inhibitor','10.1101/2021.12.02.471030',"[[' gratifyingly ,  tropifexor showed antiviral activity against sars - cov - 2 in calu - 3 cells with an ec50 of 4.03 {micro}m ,  a 7.8 - fold increase compared to grl0617 ( ec50 = 31.4 {micro}m ) .'], [' in this study ,  we conducted a drug - repurposing screening of plpro against the medchemexpress bioactive compound library and identified three hits ,  eacc ,  ky - 226 ,  and tropifexor ,  as potent plpro inhibitors with ic50 values ranging from 3.39 to 8.28 {micro}m.', ' in addition ,  tropifexor inhibited the cellular plpro activity in the flipgfp assay with an ic50 of 10.6 {micro}m.']]"
tropifexor,"[' in this study ,  we conducted a drug - repurposing screening of plpro against the medchemexpress bioactive compound library and identified three hits ,  eacc ,  ky - 226 ,  and tropifexor ,  as potent plpro inhibitors with ic50 values ranging from 3.', ' in addition ,  tropifexor inhibited the cellular plpro activity in the flipgfp assay with an ic50 of 10.', ' gratifyingly ,  tropifexor showed antiviral activity against sars - cov - 2 in calu - 3 cells with an ec50 of 4.', ' overall ,  tropifexor represents a novel plpro inhibitor that can be further developed as sars - cov - 2 antivirals.']",'Drug repurposing screening identified tropifexor as a SARS-CoV-2 papain-like protease inhibitor','10.1101/2021.12.02.471030',"[[' gratifyingly ,  tropifexor showed antiviral activity against sars - cov - 2 in calu - 3 cells with an ec50 of 4.03 {micro}m ,  a 7.8 - fold increase compared to grl0617 ( ec50 = 31.4 {micro}m ) .'], [' in this study ,  we conducted a drug - repurposing screening of plpro against the medchemexpress bioactive compound library and identified three hits ,  eacc ,  ky - 226 ,  and tropifexor ,  as potent plpro inhibitors with ic50 values ranging from 3.39 to 8.28 {micro}m.', ' in addition ,  tropifexor inhibited the cellular plpro activity in the flipgfp assay with an ic50 of 10.6 {micro}m.']]"
angiotensin,"["" 'soluble angiotensin - converting enzyme 2 ( ace2 )  constitutes an attractive antiviral capable of targeting a wide range of coronaviruses utilizing ace2 as their receptor."", ' these ace2 - fcs harbor structurally validated mutations that enhance spike ( s )  binding and remove angiotensin enzymatic activity.']",'Engineered ACE2-Fc counters murine lethal SARS-CoV-2 infection through direct neutralization and Fc-effector activities','10.1101/2021.11.24.469776',"[[' the lead variant bound tightly to s ,  mediated in vitro neutralization of sars - cov - 2 variants of concern ( vocs )  with sub - nanomolar ic50 and was capable of robust fc - effector functions ,  including antibody - dependent - cellular cytotoxicity ,  phagocytosis and complement deposition.']]"
moxidectin,"[' here ,  in vitro antiviral activity of the avermectins ( ivermectin and selamectin )  and milbemycins ( moxidectin and milbemycin oxime )  were assessed against a clinical isolate from a chu montpellier patient infected with sars - cov - 2 in 2020.', ' similarly ,  the other macrocyclic lactones moxidectin ,  milbemycin oxime and selamectin reduced sars - cov - 2 replication in vitro ( with ec50 of 2 - 5 m ) .', ' immunofluorescence assays with ivermectin and moxidectin showed a reduction in the number of infected and polynuclear cells suggesting a drug action on viral cell fusion.']",'Low selectivity index of ivermectin and macrocyclic lactones on SARS-CoV2 replication in vitro argues against their therapeutic use for COVID-19.','10.1101/2021.11.01.466865',"[[' ivermectin demonstrated anti - sars - cov - 2 activity in vitro in human pulmonary cells in comparison to veroe6 ( with ec50 of 1 - 3 m ) .', ' similarly ,  the other macrocyclic lactones moxidectin ,  milbemycin oxime and selamectin reduced sars - cov - 2 replication in vitro ( with ec50 of 2 - 5 m ) .']]"
